Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Software - Infrastructure,Technology,305.9,98,99,99,96,"ALAR,HUBC"
2,Copper,Basic Materials,152.25,98,98,66,30,"TGB,HBM,SCCO,ERO,FCX"
3,Silver,Basic Materials,136.39,97,96,3,43,"FSM,SVM,PAAS,AG,MAG"
4,Aluminum,Basic Materials,133.56,97,98,65,31,"CENX,KALU,AA,CSTM"
5,Utilities—Independent Power Producers,Utilities,132.82,96,96,90,90,"VST,NRG,PAM,KEN,TAC"
6,Other Precious Metals & Mining,Basic Materials,126.2,95,92,7,37,"GATO,EXK,ASM,BVN,PPTA,SILV,PLG,MUX,NEWP,TFPM,ITRG,GROY,VOXR,MTA,ATLX,AUMN"
7,Software - Application,Technology,120.16,95,99,99,0,"BMR,CXAI,UPBD,GETR"
8,Chemicals,Basic Materials,118.41,94,86,88,39,"ASPI,TROX,VHI,RYAM,MEOH,CE,LXU,ORGN,DOW,WLKP,HUN,BAK,ASIX,FF"
9,Uranium,Energy,116.54,93,95,94,99,"UEC,EU,DNN,NXE,CCJ,URG,UROY,LEU,UUUU"
10,Financial Conglomerates,Financial Services,115.98,93,41,26,4,"TREE,RILYP,RILY,RILYL,VOYA"
11,Marine Shipping,Industrials,114.53,92,89,88,85,"SHIP,NMM,GOGL,ASC,ZIM,GLBS,GRIN,PSHG,CACO,GNK,SB,KEX,CMRE,ESEA,GASS,GSL,SMHI,SBLK,SFL,EDRY,DAC,MATX,PXS,TOPS,OP,PANL,USEA,PXSAP,CPLP,NAT,CLCO,KNOP,DSX,CTRM,TORO"
12,Gold,Basic Materials,113.98,91,88,11,39,"GAU,CDE,HMY,IAG,NGD,USAU,IDR,KGC,PZG,EGO,THM,GORO,HL,AEM,HYMC,AGI,AU,CGAU,VGZ,SAND,WPM,SA,TRX,GFI,EQX,DC,OR,NEM,ORLA,RGLD,AUST,GOLD,CTGO,DRD,NG,FNV,SBSW,CMCL,BTG,NFGC,GLDG,HYMCL,ODV,IAUX,SSRM"
13,Engineering & Construction,Industrials,113.76,91,94,92,88,"TPC,ORN,IESC,STRL,EME,ESOA,FIX,WLDN,PRIM,AGX,DY,MTZ,ROAD,LMB,GVA,PWR,BLD,TTEK,MTRX,GLDD,APG,KBR,STN,FLR,MYRG,ACM,J,AMRC,NVEE,BBCP,SLND,BLNK,ENG,VATE,AGFY"
14,Insurance—Reinsurance,Financial Services,112.09,90,77,58,80,"OXBR,RGA,MHLD,BNRE,GLRE,SPNT,RNR"
