Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,CRBP,Healthcare,Biotechnology,NASDAQ,556.96,99,99,91,96
2,VKTX,Healthcare,Biotechnology,NASDAQ,546.67,99,98,98,99
3,ELEV,Healthcare,Biotechnology,NASDAQ,523.65,99,99,9,7
4,SKGRW,n/a,n/a,NASDAQ,523.61,99,19,3,28
5,VINC,Healthcare,Biotechnology,NASDAQ,495.14,99,69,18,11
6,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,481.17,99,46,97,99
7,SMCI,Technology,Computer Hardware,NASDAQ,469.18,99,99,98,99
8,ALAR,Technology,Software - Infrastructure,NASDAQ,469.17,99,99,98,95
9,NAMSW,Healthcare,Biotechnology,NASDAQ,452.13,99,99,97,97
10,DRCT,Communication Services,Advertising Agencies,NASDAQ,442.61,99,99,99,12
11,SWVL,Technology,Software—Application,NASDAQ,417.83,99,99,15,5
12,LXEH,Consumer Defensive,Education & Training Services,NASDAQ,412.5,99,99,78,1
13,CPOP,Communication Services,Entertainment,NASDAQ,408.74,99,87,99,5
14,GCT,Technology,Software—Infrastructure,NASDAQ,407.07,99,99,97,99
15,APLT,Healthcare,Biotechnology,NASDAQ,394.29,99,96,98,95
16,EYPT,Healthcare,Biotechnology,NASDAQ,383.91,99,99,99,99
17,NKTX,Healthcare,Biotechnology,NASDAQ,382.45,99,99,43,1
18,CCCC,Healthcare,Biotechnology,NASDAQ,378.8,99,98,5,5
19,SSNT,Technology,Software—Application,NASDAQ,377.82,99,99,99,79
20,LBPH,Healthcare,Biotechnology,NASDAQ,365.52,99,99,17,84
21,VERA,Healthcare,Biotechnology,NASDAQ,347.05,99,99,77,98
22,MYO,Healthcare,Medical Devices,NYSE MKT,346.4,99,99,99,98
23,IMNM,Healthcare,Biotechnology,NASDAQ,345.26,99,98,96,97
24,STTK,Healthcare,Biotechnology,NASDAQ,334.31,99,99,21,21
25,SERA,Healthcare,Diagnostics & Research,NASDAQ,332.11,99,99,77,14
26,CVNA,Consumer Cyclical,Internet Retail,NYSE,331.8,99,99,99,99
27,JANX,Healthcare,Biotechnology,NASDAQ,323.37,99,20,18,21
28,MSTR,Technology,Software—Application,NASDAQ,317.38,99,89,99,94
29,CLSK,Technology,Software—Application,NASDAQ,311.82,99,97,99,94
30,ASPI,Basic Materials,Chemicals,NASDAQ,306.97,99,99,99,86
31,CGEN,Healthcare,Biotechnology,NASDAQ,294.74,99,99,19,55
32,EQ,Healthcare,Biotechnology,NASDAQ,293.81,99,87,10,36
33,IINNW,n/a,n/a,NASDAQ,293.66,99,41,11,16
34,MGNX,Healthcare,Biotechnology,NASDAQ,287.05,99,99,96,52
35,DAVE,Technology,Software—Application,NASDAQ,275.63,99,99,28,25
36,BMR,Technology,Software - Application,NASDAQ,275.61,99,34,10,5
37,PRAX,Healthcare,Biotechnology,NASDAQ,269.0,99,98,33,47
38,ALPN,Healthcare,Biotechnology,NASDAQ,265.24,99,99,97,96
39,CATX,n/a,n/a,NYSE MKT,264.03,99,98,11,34
40,PYXS,Healthcare,Biotechnology,NASDAQ,263.84,99,97,24,75
41,ADCT,Healthcare,Biotechnology,NYSE,263.01,99,99,10,2
42,DWACU,Financial Services,Shell Companies,NASDAQ,261.48,99,99,84,83
43,ABSI,Healthcare,Biotechnology,NASDAQ,261.0,99,99,82,20
44,YMAB,Healthcare,Biotechnology,NASDAQ,259.61,99,99,90,25
45,ANF,Consumer Cyclical,Apparel Retail,NYSE,258.0,99,99,99,99
46,AAOI,Technology,Semiconductors,NASDAQ,254.35,99,99,99,99
47,DWAC,Financial Services,Shell Companies,NASDAQ,250.86,99,99,73,66
48,FEMY,Healthcare,Medical Instruments & Supplies,NASDAQ,250.12,99,18,95,4
49,OCUL,Healthcare,Biotechnology,NASDAQ,243.84,99,84,26,22
50,MOR,Healthcare,Biotechnology,NASDAQ,243.31,99,96,93,96
51,CSPI,Technology,Information Technology Services,NASDAQ,242.9,99,94,98,98
52,ARQT,Healthcare,Biotechnology,NASDAQ,242.53,99,89,1,10
53,LRMR,Healthcare,Biotechnology,NASDAQ,242.47,99,95,45,49
54,SLN,Healthcare,Biotechnology,NASDAQ,240.99,99,99,97,71
